,effective_date,amount,total keywords,computer science,internet things,cloud computing,wireless networks,cyber-physical systems,mobile devices,deep learning,machine learning,edge computing,iot devices
0,2022-01-01,601966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-10-01,184999,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,2021-10-01,93147,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-10-01,114234,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4,2021-10-01,299814,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-10-01,499988,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,2021-10-01,92716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2021-10-01,117973,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,2021-10-01,109880,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
9,2021-10-01,105517,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
10,2021-10-01,200000,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,2021-10-01,100862,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
12,2021-10-01,500000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2021-10-01,97242,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
14,2021-10-01,500000,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15,2021-10-01,499728,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16,2021-10-01,250000,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
17,2021-10-01,1201199,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18,2021-09-01,228367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2021-08-01,70463,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20,2021-07-15,499748,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
21,2021-07-15,333531,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
22,2021-07-15,333569,5.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
23,2021-07-15,448428,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
24,2021-07-15,102882,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
25,2021-07-01,505418,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
26,2021-07-01,500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2021-07-01,109069,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
28,2021-07-01,399708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2021-07-01,98034,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
30,2021-07-01,800000,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2021-07-01,994592,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
32,2021-07-01,103062,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33,2021-07-01,131591,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34,2021-06-15,600000,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
35,2021-06-15,532247,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
36,2021-06-15,250000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2021-06-01,100000,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38,2021-06-01,250000,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
39,2021-06-01,250000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
